"Story","Title","Result","Date","Stability","Duration (s)"
"register user by front","Validate unregister user","SUCCESS","2020-08-14T10:02:48.037-05:00[America/Bogota]","0.0","5.62"
"register user by front","Register Happy Path","PENDING","2020-08-14T10:02:53.661-05:00[America/Bogota]","0.0","8.27"
"register user by front","Register user message errors validation","FAILURE","2020-08-14T10:03:01.945-05:00[America/Bogota]","0.0","106.59"
"register user by front","Value Analysis & Equivalence Partitioning and others exploratory you know","FAILURE","2020-08-14T10:04:48.535-05:00[America/Bogota]","0.0","25.33"
